id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_helpdesk_tag,helpdesk.tag,model_helpdesk_tag,helpdesk.group_helpdesk_user,1,1,1,1
access_helpdesk_sla,helpdesk.sla,model_helpdesk_sla,helpdesk.group_helpdesk_user,1,0,0,0
access_helpdesk_sla_status,helpdesk.sla.status,model_helpdesk_sla_status,helpdesk.group_helpdesk_user,1,0,0,0
access_helpdesk_sla_manager,helpdesk.sla.manager,model_helpdesk_sla,helpdesk.group_helpdesk_manager,1,1,1,1
access_helpdesk_stage,helpdesk.stage,model_helpdesk_stage,helpdesk.group_helpdesk_user,1,0,0,0
access_helpdesk_stage_manager,helpdesk.stage.manager,model_helpdesk_stage,helpdesk.group_helpdesk_manager,1,1,1,1
access_helpdesk_stage_portal,helpdesk.stage.portal,helpdesk.model_helpdesk_stage,base.group_portal,1,0,0,0
access_helpdesk_ticket_portal,helpdesk.ticket.portal,helpdesk.model_helpdesk_ticket,base.group_portal,1,0,0,0
access_helpdesk_ticket,helpdesk.ticket,model_helpdesk_ticket,helpdesk.group_helpdesk_user,1,1,1,1
access_helpdesk_team_public,helpdesk.team,model_helpdesk_team,,1,0,0,0
access_helpdesk_team_manager,helpdesk.team.manager,model_helpdesk_team,helpdesk.group_helpdesk_manager,1,1,1,1
access_helpdesk_ticket_type_user,helpdesk.ticket.type.user,model_helpdesk_ticket_type,helpdesk.group_helpdesk_user,1,0,0,0
access_helpdesk_ticket_type_manager,helpdesk.ticket.type.manager,model_helpdesk_ticket_type,helpdesk.group_helpdesk_manager,1,1,1,1
access_helpdesk_sla_report_analysis,access_helpdesk_sla_report_analysis,model_helpdesk_sla_report_analysis,helpdesk.group_helpdesk_manager,1,0,0,0
access_mail_activity_type_helpdesk_manager,mail.activity.type.helpdesk.manager,mail.model_mail_activity_type,helpdesk.group_helpdesk_manager,1,1,1,1
