id,l10n_co_edi_type:id
l10n_co.l10n_co_tax_8,l10n_co_edi.tax_type_0
l10n_co.l10n_co_tax_4,l10n_co_edi.tax_type_0
l10n_co.l10n_co_tax_9,l10n_co_edi.tax_type_0
l10n_co.l10n_co_tax_10,l10n_co_edi.tax_type_0
l10n_co.l10n_co_tax_11,l10n_co_edi.tax_type_0
l10n_co.l10n_co_tax_53,l10n_co_edi.tax_type_5
l10n_co.l10n_co_tax_54,l10n_co_edi.tax_type_5
l10n_co.l10n_co_tax_55,l10n_co_edi.tax_type_4
l10n_co.l10n_co_tax_56,l10n_co_edi.tax_type_4
l10n_co.l10n_co_tax_57,l10n_co_edi.tax_type_6
l10n_co.l10n_co_tax_58,l10n_co_edi.tax_type_6
l10n_co.l10n_co_tax_covered_goods,l10n_co_edi.tax_type_0
