id,code
l10n_lu.account_tax_report_line_3a_1_invoiced_by_other_taxable_person,LUTAX_458
l10n_lu.account_tax_report_line_2e_1_a_tax,LUTAX_462
l10n_lu.account_tax_report_line_2d_1_tax_17,LUTAX_722
l10n_lu.account_tax_report_line_2e_1_base,LUTAX_436
l10n_lu.account_tax_report_line_2a_breakdown_taxable_turnover_base,LUTAX_037
l10n_lu.account_tax_report_line_1a_telecom_service,LUTAX_471
l10n_lu.account_tax_report_line_2f_supply_goods_tax_8,LUTAX_764
l10n_lu.account_tax_report_line_2f_supply_goods_base_8,LUTAX_763
l10n_lu.account_tax_report_line_3a_total_input_tax,LUTAX_093
l10n_lu.account_tax_report_line_4a_total_tax_due,LUTAX_103
l10n_lu.account_tax_report_line_1b_1_intra_community_goods_pi_vat,LUTAX_457
l10n_lu.account_tax_report_line_3b1_rel_trans,LUTAX_094
l10n_lu.account_tax_report_line_1a_overall_turnover,LUTAX_012
l10n_lu.account_tax_report_line_2e_3_base_17,LUTAX_761
l10n_lu.account_tax_report_line_1b_exemptions_deductible_amounts,LUTAX_021
l10n_lu.account_tax_report_line_1b_2_export,LUTAX_014
l10n_lu.account_tax_report_line_3a_2_due_respect_intra_comm_goods,LUTAX_459
l10n_lu.account_tax_report_line_3b2_ded_prop,LUTAX_095
l10n_lu.account_tax_report_line_3b_total_input_tax_nd,LUTAX_097
l10n_lu.account_tax_report_line_4a_total_input_tax_deductible,LUTAX_104
l10n_lu.account_tax_report_line_2e_3_tax_17,LUTAX_762
l10n_lu.account_tax_report_line_2e_2_tax,LUTAX_464
l10n_lu.account_tax_report_line_2d_1_tax_14,LUTAX_724
l10n_lu.account_tax_report_line_2a_breakdown_taxable_turnover_tax,LUTAX_046
l10n_lu.account_tax_report_line_2e_2_base,LUTAX_463
l10n_lu.account_tax_report_line_1a_total_sale,LUTAX_454
l10n_lu.account_tax_report_line_1a_other_sales,LUTAX_472
l10n_lu.account_tax_report_line_1c_taxable_turnover,LUTAX_022
l10n_lu.account_tax_report_line_1b_3_other_exemptions_art_43,LUTAX_015
l10n_lu.account_tax_report_line_2e_3_base,LUTAX_765
