01019099,Los demás.,07
01029099,Los demás.,07
01031001,Reproductores de raza pura.,07
01039101,Con pedigree o certificado de alto registro.,07
01039102,Pecarís.,07
01039199,Los demás.,07
01039201,Con pedigree o certificado de alto registro. ,07
01039202,"De peso superior a 110 kg, excepto lo comprendido en las fracciones 0103.92.01 y 0103.92.03.",07
01039203,Pecarís.,07
01039299,Los demás.,07
01041001,Con pedigree o certificado de alto registro.,07
01041002,Para abasto.,07
01041099,Los demás.,07
01042001,Con pedigree o certificado de alto registro.,07
01042099,Los demás.,07
01051101,Cuando no necesiten alimento durante su transporte.,07
01051102,"Aves progenitoras recién nacidas, con certificado de alto registro, cuando se importe un máximo de 18,000 cabezas por cada operación.",07
01051199,Los demás.,07
01051201,Pavos (gallipavos).,07
01059401,Gallos de pelea.,07
01059499,Los demás.,07
01059999,Los demás.,07
01061101,Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.,07
01061199,Los demás.,07
01061201,"Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamíferos del orden Sirenios).",07
01061901,"Borrego cimarrón, berrendo, oso, lobo, castor, puma, jaguar, ocelote, margay, gato de monte o tapir.",07
01061902,Venado rojo (Cervus elaphus); gamo (Dama dama).,07
01061903,Perros.,07
01061999,Los demás.,07
01062001,Víbora de cascabel.,07
01062002,Tortugas terrestres.,07
01062003,Tortugas de agua dulce o de mar.,07
01062099,Los demás.,07
01063101,Aves de rapiña.,07
01063201,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).",07
01063901,Flamencos; quetzales; guan cornudo; pato real.,07
01063902,Aves canoras.,07
01063999,Las demás.,07
01069002,Lombriz Rebellus.,01
01069003,Lombriz acuática.,01
01069004,Ácaros Phytoseiulus persimilis.,01
01069099,Los demás.,07
02011001,En canales o medias canales.,01
02012099,Los demás cortes (trozos) sin deshuesar.,01
02013001,Deshuesada.,01
02021001,En canales o medias canales.,01
02022099,Los demás cortes (trozos) sin deshuesar.,01
02023001,Deshuesada.,01
02031101,En canales o medias canales.,01
02031201,"Piernas, paletas y sus trozos, sin deshuesar.",01
02031999,Las demás.,01
02032101,En canales o medias canales.,01
02032201,"Piernas, paletas y sus trozos, sin deshuesar.",01
02032999,Las demás.,01
02041001,"Canales o medias canales de cordero, frescas o refrigeradas.",01
02042101,En canales o medias canales.,01
02042299,Los demás cortes (trozos) sin deshuesar.,01
02042301,Deshuesadas.,01
02043001,"Canales o medias canales de cordero, congeladas.",01
02044101,En canales o medias canales.,01
02044299,Los demás cortes (trozos) sin deshuesar.,01
02044301,Deshuesadas.,01
02045001,Carne de animales de la especie caprina.,01
02050001,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",01
02061001,"De la especie bovina, frescos o refrigerados.",01
02062101,Lenguas.,01
02062201,Hígados.,01
02062999,Los demás.,01
02063001,"Pieles de cerdo enteras o en recortes, refrigerados, excepto el cuero precocido en trozos (""pellets"").",01
02063099,Los demás.,01
