id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_planning_slot_user,planning.slot.user,planning.model_planning_slot,planning.group_planning_user,1,0,0,0
access_planning_slot_manager,planning.slot.manager,planning.model_planning_slot,planning.group_planning_manager,1,1,1,1
access_planning_role_user,planning.role.user,planning.model_planning_role,planning.group_planning_user,1,0,0,0
access_planning_role_manager,planning.role.manager,planning.model_planning_role,planning.group_planning_manager,1,1,1,1
access_planning_recurrency_user,planning.recurrency.user,planning.model_planning_recurrency,planning.group_planning_user,1,0,0,0
access_planning_recurrency_manager,planning.recurrency.manager,planning.model_planning_recurrency,planning.group_planning_manager,1,1,1,1
access_planning_planning,access_planning_planning,model_planning_planning,planning.group_planning_manager,1,1,1,1
access_planning_slot_template_user,planning.slot.template.user,planning.model_planning_slot_template,planning.group_planning_user,1,0,0,0
access_planning_slot_template_manager,planning.slot.template.manager,planning.model_planning_slot_template,planning.group_planning_manager,1,1,1,1
access_planning_slot_report_analysis,access_planning_slot_report_analysis,model_planning_slot_report_analysis,base.group_user,1,1,1,1
