id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_sale_subscription_report_salesman,access_sale_subscription_report_salesman,model_sale_subscription_report,sales_team.group_sale_salesman,1,0,0,0
access_sale_subscription_report_manager,access_sale_subscription_report_manager,model_sale_subscription_report,sales_team.group_sale_manager,1,1,1,1
access_sale_subscription_manager,access_sale_subscription_manager,model_sale_subscription,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_sale_subscription_portal,access_sale_subscription_portal,sale_subscription.model_sale_subscription,base.group_portal,1,1,0,0
access_sale_subscription_template_manager,access_sale_subscription_template_manager,model_sale_subscription_template,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_sale_subscription_line_manager,access_sale_subscription_line_manager,model_sale_subscription_line,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_subscription_line_portal,access_subscription_line_portal,sale_subscription.model_sale_subscription_line,base.group_portal,1,0,0,0
access_sale_subscription_close_reason_manager,access_sale_subscription_close_reason_manager,model_sale_subscription_close_reason,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_subscription_close_reason_public,access_subscription_close_reason_public,sale_subscription.model_sale_subscription_close_reason,,1,0,0,0
access_sale_subscription_view,access_sale_subscription_view,model_sale_subscription,sale_subscription.group_sale_subscription_view,1,0,0,0
access_sale_subscription_stage_view,access_sale_subscription_stage_view,model_sale_subscription_stage,sale_subscription.group_sale_subscription_view,1,0,0,0
access_sale_subscription_template_view,access_sale_subscription_template_view,model_sale_subscription_template,sale_subscription.group_sale_subscription_view,1,0,0,0
access_sale_subscription_line_view,access_sale_subscription_line_view,model_sale_subscription_line,sale_subscription.group_sale_subscription_view,1,0,0,0
access_sale_subscription_close_reason_view,access_sale_subscription_close_reason_view,model_sale_subscription_close_reason,sale_subscription.group_sale_subscription_view,1,0,0,0
access_product_template_sale_subscription_manager,product.template.sale.subscription.manager,product.model_product_template,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_product_product_sale_subscription_manager,product.product.sale.subscription.manager,product.model_product_product,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_sale_subscription_stage,access_sale_subscription_stage,model_sale_subscription_stage,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_sale_subscription_snapshot,access_sale_subscription_snapshot,model_sale_subscription_snapshot,,0,0,0,0
access_sale_subscription_alert,access_sale_subscription_alert,model_sale_subscription_alert,sale_subscription.group_sale_subscription_manager,1,1,1,1
access_sms_template_sale_subscription_manager,access.sms.template.sale.subscription.manager,sms.model_sms_template,sale_subscription.group_sale_subscription_manager,1,1,1,1
